minute,samples_shoulder,shoulder_mean,shoulder_min,shoulder_max,samples_headroll,headroll_mean,headroll_min,headroll_max,samples_mouth,mouth_mean,mouth_min,mouth_max
0,300,0.0050688451528549195,-0.03754323720932007,0.03179067373275757,300,-5.813840062674787,-17.836311930339523,5.888264783394738,300,0.049516524652292865,8.240177171232982e-05,0.3052991723668247
1,300,-0.003206000030040741,-0.027169018983840942,0.017961740493774414,300,-4.914354072461148,-19.208187382678503,6.474668853373586,300,0.054711148412356074,0.0001050122120380656,0.27971447842650243
2,300,-0.004562631944815318,-0.0393243134021759,0.0267488956451416,300,-4.0716545127854635,-17.412618353494118,15.590091631184789,300,0.03809931620083976,7.790596889446339e-05,0.32005700649604246
3,300,0.0020536984999974567,-0.02346658706665039,0.02583998441696167,300,-4.7623918478257785,-20.305682770511584,8.641420026151726,300,0.03827256357357406,0.00025113630711814087,0.2810515306780413
4,300,0.008136373460292817,-0.03413990139961243,0.0569131076335907,299,-5.817261005396496,-18.667127341288833,12.930508515985577,299,0.06162432237198644,9.803715580996755e-05,0.42349380091984096
5,300,0.0038890583316485085,-0.02299356460571289,0.0480823814868927,300,-5.539291968722252,-33.23355195162339,12.17717549158999,300,0.0580915744450224,0.00012591235582972741,0.3308017035252014
6,300,-0.0046948569019635514,-0.027653753757476807,0.02657407522201538,300,-0.9179901426421742,-17.408321657182732,16.066334192581454,300,0.03820181791285988,1.603358578399704e-05,0.4087321747093889
7,300,-0.004561078747113546,-0.0272294282913208,0.020673006772994995,300,-4.443261899843884,-19.165723059360413,18.053901597838465,300,0.03617681132451798,0.0001610395458200083,0.2558210578079639
8,300,-0.0029425950845082603,-0.021045953035354614,0.03101840615272522,293,-2.9823607072433935,-27.136297491363017,10.209534626714605,293,0.04613818169478305,0.00028651184311778737,0.17686716259202126
9,300,0.004396637876828512,-0.027481406927108765,0.034982770681381226,290,-1.534296719048905,-21.980421661014514,14.008379981843381,290,0.016574978743202656,0.00025044502998213225,0.21339286860677034
10,300,0.003918628692626953,-0.04491919279098511,0.031767696142196655,300,-3.3450159796399985,-17.36356269340154,10.838341278700725,300,0.04171845120445612,0.00017755689440708948,0.2930837915766426
11,300,0.002056286136309306,-0.02487596869468689,0.02779361605644226,300,-3.7083779473306944,-19.60290558373787,15.225680723369367,300,0.04286513794199948,7.877734551827985e-05,0.2949620511285112
12,300,-0.0031190384427706402,-0.02626127004623413,0.01293259859085083,300,-1.0124857121014337,-19.550361619010058,9.533061418618152,300,0.04454810469589914,7.574024185964473e-05,0.25188327050487386
13,300,-0.007156556745370229,-0.0332053005695343,0.0173761248588562,300,-1.2073106199031096,-25.022584462379594,14.186247337621035,300,0.048123915573017824,0.0002864801911978156,0.32844144917394624
14,300,-0.001308087706565857,-0.021215051412582397,0.020731955766677856,299,-1.524933407180511,-20.215722054700315,15.787683101020427,299,0.05036772156881428,0.0003444639483630619,0.27661168349019233
15,300,-0.002144700586795807,-0.02579951286315918,0.02402704954147339,300,-2.1673280932993295,-18.47924776837162,18.36220349693165,300,0.04233416218428989,0.0003189508624100978,0.20727568078564998
16,300,-0.000463239848613739,-0.01577150821685791,0.027579009532928467,300,-1.938661489500031,-17.76611090149334,12.080032493272808,300,0.04170574610703335,0.00011863396023219039,0.26303079157020753
17,300,-0.007463850677013397,-0.03903090953826904,0.027787357568740845,300,0.45266155782153156,-11.613936153533695,9.333903109844794,300,0.029870375271426605,0.0002497645112858019,0.29762015798448876
18,300,0.00313752810160319,-0.025487691164016724,0.037538886070251465,300,-1.7182308353491604,-36.09171423644383,16.134197995106906,300,0.047311951334919326,9.835741088184113e-05,0.3519720619074282
